tx_id,payload_size,prompt_length,response_length,sample_index,batch_size,full_bytes,compact_bytes,saved_bytes,byte_reduction_ratio,full_onchain_calldata_total_gas,full_onchain_calldata_amortized_gas,full_onchain_calldata_reduction_ratio,compact_external_da_total_gas,compact_external_da_amortized_gas,compact_external_da_reduction_ratio,compact_eip4844_like_total_gas,compact_eip4844_like_amortized_gas,compact_eip4844_like_reduction_ratio,compact_modular_da_sampling_total_gas,compact_modular_da_sampling_amortized_gas,compact_modular_da_sampling_reduction_ratio
cost-p128-q64-s11,128,64,128,11,100,1507,406,1101,0.7305905773059058,24112.0,241.12,0.0,9811.4,98.11399999999999,0.5930905773059058,7852.3,78.523,0.6743405773059058,7174.15,71.7415,0.7024655773059058
cost-p128-q64-s11,128,64,128,11,1000,1507,406,1101,0.7305905773059058,24112.0,24.112,0.0,9811.4,9.811399999999999,0.5930905773059058,7852.3,7.8523000000000005,0.6743405773059058,7174.15,7.17415,0.7024655773059058
cost-p128-q64-s12,128,64,128,12,1,1683,406,1277,0.7587641117052881,26928.0,26928.0,0.0,10198.6,10198.6,0.6212641117052883,8010.7,8010.7,0.7025141117052881,7253.35,7253.35,0.7306391117052883
cost-p128-q64-s12,128,64,128,12,10,1683,406,1277,0.7587641117052881,26928.0,2692.8,0.0,10198.6,1019.86,0.6212641117052883,8010.7,801.0699999999999,0.7025141117052881,7253.35,725.335,0.7306391117052883
cost-p128-q64-s12,128,64,128,12,100,1683,406,1277,0.7587641117052881,26928.0,269.28,0.0,10198.6,101.986,0.6212641117052883,8010.7,80.107,0.7025141117052881,7253.35,72.5335,0.7306391117052883
cost-p128-q64-s12,128,64,128,12,1000,1683,406,1277,0.7587641117052881,26928.0,26.928,0.0,10198.6,10.1986,0.6212641117052883,8010.7,8.0107,0.7025141117052881,7253.35,7.25335,0.7306391117052883
cost-p128-q64-s13,128,64,128,13,1,1859,406,1453,0.7816030123722432,29744.0,29744.0,0.0,10585.8,10585.8,0.6441030123722432,8169.1,8169.1,0.7253530123722431,7332.55,7332.55,0.7534780123722432
cost-p128-q64-s13,128,64,128,13,10,1859,406,1453,0.7816030123722432,29744.0,2974.4,0.0,10585.8,1058.58,0.6441030123722432,8169.1,816.9100000000001,0.7253530123722431,7332.55,733.255,0.7534780123722432
cost-p128-q64-s13,128,64,128,13,100,1859,406,1453,0.7816030123722432,29744.0,297.44,0.0,10585.8,105.85799999999999,0.6441030123722432,8169.1,81.691,0.7253530123722431,7332.55,73.3255,0.7534780123722432
cost-p128-q64-s13,128,64,128,13,1000,1859,406,1453,0.7816030123722432,29744.0,29.744,0.0,10585.8,10.585799999999999,0.6441030123722432,8169.1,8.1691,0.7253530123722431,7332.55,7.33255,0.7534780123722432
cost-p128-q64-s14,128,64,128,14,1,2035,406,1629,0.8004914004914004,32560.0,32560.0,0.0,10973.0,10973.0,0.6629914004914005,8327.5,8327.5,0.7442414004914005,7411.75,7411.75,0.7723664004914005
